brand_id,name_en,name_zh,domain,industry,country_region,fame_level,similar_group,has_pure_symbol,symbol_review_status,include_mvp,preferred_source,notes
nike,Nike,耐克,nike.com,服装时尚,美国,5,sportswear,true,pending,true,brandfetch,运动品牌组，适合题型3真实相似干扰
adidas,Adidas,阿迪达斯,adidas.com,服装时尚,德国,5,sportswear,true,pending,true,brandfetch,运动品牌组，优先取三叶草/三条纹 symbol
puma,Puma,彪马,puma.com,服装时尚,德国,4,sportswear,true,pending,true,brandfetch,运动品牌组
reebok,Reebok,锐步,reebok.com,服装时尚,美国,4,sportswear,true,pending,true,brandfetch,运动品牌组
the_north_face,The North Face,北面,thenorthface.com,服装时尚,美国,4,outdoor_sports,true,pending,true,brandfetch,户外运动品牌组
patagonia,Patagonia,巴塔哥尼亚,patagonia.com,服装时尚,美国,4,outdoor_sports,unknown,pending,true,brandfetch,可能抓到带文字版本，需人工确认纯图形
salomon,Salomon,萨洛蒙,salomon.com,服装时尚,法国,4,outdoor_sports,true,pending,true,brandfetch,户外运动品牌组
under_armour,Under Armour,安德玛,underarmour.com,服装时尚,美国,4,outdoor_sports,true,pending,true,brandfetch,户外/运动品牌组
starbucks,Starbucks,星巴克,starbucks.com,餐饮食品,美国,5,coffee_chain,true,pending,true,brandfetch,咖啡连锁组
costa,Costa Coffee,Costa 咖啡,costa.co.uk,餐饮食品,英国,4,coffee_chain,unknown,pending,true,brandfetch,可能抓到字标，需确认是否有纯图形
luckin,Luckin Coffee,瑞幸咖啡,luckincoffee.com,餐饮食品,中国,5,coffee_chain,true,pending,true,brandfetch/svglogo,中国咖啡品牌，可用 SVGLOGO 补充
tim_hortons,Tim Hortons,Tim Hortons,timhortons.com,餐饮食品,加拿大,4,coffee_chain,unknown,pending,true,brandfetch,可能抓到字标，需确认是否有纯图形
mcdonalds,McDonald's,麦当劳,mcdonalds.com,餐饮食品,美国,5,fast_food,true,pending,true,brandfetch,快餐组
kfc,KFC,肯德基,kfc.com,餐饮食品,美国,5,fast_food,true,pending,true,brandfetch,快餐组
burger_king,Burger King,汉堡王,burgerking.com,餐饮食品,美国,5,fast_food,unknown,pending,true,brandfetch,可能是组合标，需确认是否适合出题
